strategy,num_urgent,rule,replication,elAppWT,elScanWT,urScanWT,OT,OV
S1,10,1,0,4.046108659860777,0.0738787909629985,3.4072992402786118,1.2713507849519765,0.40267278459362016
S1,10,1,1,4.674896416933471,0.0757401778604006,3.462975086624177,1.27386569928844,0.4126017740114173
S1,10,1,2,5.027268902884224,0.07366385951368319,3.5645360578405816,1.293597842978486,0.42598378164231193
S1,10,1,3,4.585900933832229,0.07321222951386598,3.440085140143065,1.231320937039642,0.40952871160616733
S1,10,1,4,4.374514777231992,0.07313112420767377,3.403139111966299,1.2340757801740527,0.40416534643216007
S1,10,1,5,4.468170234867039,0.07538194625233034,3.549728789877411,1.3130581990500403,0.4210105613843971
S1,10,1,6,5.170414809109123,0.07568308069279145,3.504362068972122,1.3165090536417068,0.42014984184477416
S1,10,1,7,4.734054252396263,0.07426882782032164,3.361088006587769,1.289061523701311,0.4016331173136981
S1,10,1,8,4.64062597675169,0.0773636097069821,3.4668169989118285,1.162143934350009,0.41282466243912197
S1,10,1,9,4.6413524122905505,0.07364605934898612,3.4161757669765596,1.3106797519519886,0.40720218291182336
S1,10,1,10,4.904528652764515,0.07413136403068164,3.414264318821124,1.2742508971898718,0.40855632502435807
S1,10,1,11,4.5998226210264175,0.07430463184835481,3.4557959362348316,1.3072294331011929,0.4113572228020433
S1,10,1,12,4.6194797933388285,0.07292599196372873,3.4206596746823785,1.2491328844195584,0.4075702007187097
S1,10,1,13,5.036094768052074,0.07779037824890538,3.43064395545369,1.3297412906503268,0.4111594162888152
S1,10,1,14,4.735016589182398,0.07524713558911225,3.323224216530036,1.2706048669277763,0.3974317577246611
S1,10,1,15,4.724546312517904,0.07419423815618503,3.403972830142611,1.2849433774082955,0.4063415028284522
S1,10,1,16,4.888182496943494,0.07437432893633451,3.4239262768752425,1.2576861608865009,0.40953257737270643
S1,10,1,17,4.56758083361156,0.07765309864981736,3.3785887246072632,1.2277351079040748,0.40258672833103454
S1,10,1,18,4.542216336068931,0.0755563555751938,3.524549038597217,1.3488193111057027,0.4186535618445455
S1,10,1,19,4.553260203352674,0.07711400854631666,3.4905060001061012,1.284748224827406,0.4149367393174597
S1,10,1,20,4.759092137967228,0.07480831266397474,3.419255896896726,1.2713361579174847,0.408245251270076
S1,10,1,21,4.48364432759039,0.0732369199357439,3.5298341147407424,1.30619463267099,0.41889214961954907
S1,10,1,22,4.357039037590792,0.07736605407494465,3.4569159077020464,1.2967648344494345,0.41003652369858523
S1,10,1,23,4.778353644910499,0.07336228022637283,3.4173021749373245,1.2638343935268312,0.408142822879408
S1,10,1,24,5.121194450973527,0.07668640069420452,3.383593197776264,1.2524226274274837,0.4064381000563321
S1,10,1,25,4.897094588133869,0.07266484980470812,3.4588194040322597,1.2902797395401575,0.41346263966311136
S1,10,1,26,4.36469048180511,0.07314291836312792,3.498746316232885,1.264089343735219,0.4147298911794779
S1,10,1,27,4.758857670535099,0.07466998261941804,3.4386247208116387,1.2321247129993766,0.4103959471767005
S1,10,1,28,4.8484386994034185,0.07542903367260682,3.4130059589951696,1.2639850973189857,0.4080826384959122
S1,10,1,29,4.711560520556396,0.07509248784476209,3.626285526336363,1.2846701961832983,0.43096561713592363
S1,10,2,0,4.495676640437757,0.13950144702434028,3.3418380749232917,1.1974065352853422,0.3980753216607492
S1,10,2,1,5.09409224821297,0.1438169107388987,3.396420227181925,1.2054773919146848,0.4077020029103704
S1,10,2,2,5.470486679411887,0.14400838737929947,3.4988537691213053,1.2250317315789419,0.42132395061315225
S1,10,2,3,4.9733256326274144,0.1404983552730909,3.3741201832600036,1.156620183148535,0.4045053713500842
S1,10,2,4,4.840343528213917,0.13815332607307212,3.33890650791034,1.162880334950667,0.3998011806103587
S1,10,2,5,4.92021631586216,0.14143918600664276,3.4815601633605793,1.2404555532829278,0.41612702003130736
S1,10,2,6,5.589462593282796,0.1437838245610745,3.4332485418470915,1.2392757552354456,0.41474267087953476
S1,10,2,7,5.1511742976163735,0.14219952902960772,3.294337659457961,1.2195868431208372,0.39669926948907724
S1,10,2,8,5.051782560381583,0.14557570756752672,3.3951485269745834,1.085144221849719,0.4073088595073837
S1,10,2,9,5.073901431898388,0.13782483493355766,3.352516508956221,1.2409529987009313,0.4027036285659594
S1,10,2,10,5.335481705069615,0.14112356679623034,3.352184339313299,1.2033384340656408,0.40422374626339996
S1,10,2,11,5.024638982829688,0.13943682962550352,3.3852910907452793,1.2333074052917339,0.40605201990123946
S1,10,2,12,5.072213723941763,0.1372201562368155,3.3587661342562414,1.178754335228652,0.40338798549637855
S1,10,2,13,5.42937302830766,0.144975594765135,3.358527442957228,1.2531750875217922,0.4054874124812058
S1,10,2,14,5.16765227559603,0.14164309442598463,3.257805121483081,1.2030872013740257,0.39273818180523934
S1,10,2,15,5.1585605221093855,0.14038085984981372,3.340573347154746,1.2132716176243785,0.40188053374403554
